time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,train/entropy_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/loss
49152,92,-433.04991394999996,389.07,532,12,-2.2007061138749124,0.2,0.0712646484375,0.007857792,-0.009051198106317316,0.0003,110,222.65743446350098,0.497450590133667,87.62287139892578
53248,111,-418.51154192999996,380.87,478,13,-2.2078250244259836,0.2,0.0276123046875,0.006091698,-0.003605292469001142,0.0003,120,334.82252583503725,0.5454652905464172,154.67723083496094
57344,116,-382.59009695000003,375.79,490,14,-2.212883587181568,0.2,0.0203369140625,0.007275851,-0.0035609200596809385,0.0003,130,492.9444082260132,0.6479842662811279,210.91546630859375
61440,132,-352.9034272,383.02,463,15,-2.231183555722237,0.2,0.0556640625,0.009288153,-0.00750075503019616,0.0003,140,374.4012612342834,0.6129070520401001,218.3191680908203
65536,139,-305.82435191,386.27,470,16,-2.245862402021885,0.2,0.097705078125,0.008988506,-0.010818126911181026,0.0003,150,73.16339137554169,0.8075593709945679,38.89987564086914
69632,144,-283.5007523,388.28,482,17,-2.23650476038456,0.2,0.1040283203125,0.010346642,-0.011659153415530454,0.0003,160,65.09654593467712,0.8684832453727722,33.074771881103516
73728,161,-284.9736012000001,400.34,456,18,-2.2400818809866907,0.2,0.0154296875,0.0062763807,-0.004030261603475083,0.0003,170,360.2504835128784,0.7506245970726013,183.72320556640625
77824,167,-277.5482133,413.06,465,19,-2.2326666489243507,0.2,0.09951171875,0.012620596,-0.011971532576717436,0.0003,180,368.5674829483032,0.7621780037879944,201.9574737548828
81920,182,-264.80282939000006,428.27,448,20,-2.215001581609249,0.2,0.01640625,0.007343448,-0.005450013616791693,0.0003,190,707.4430953979493,0.6801672577857971,334.5843505859375
86016,188,-244.96284407,439.93,456,21,-2.1980416983366013,0.2,0.108349609375,0.010526676,-0.014373830224212725,0.0003,200,96.31208109855652,0.7907143235206604,39.980918884277344
90112,206,-227.66850656999998,452.38,436,22,-2.202332319319248,0.2,0.04384765625,0.007967142,-0.007505379390931921,0.0003,210,100.14620308876037,0.8815324902534485,40.40925979614258
94208,212,-227.97523793000005,467.95,443,23,-2.1854832068085672,0.2,0.05537109375,0.009194247,-0.008072446708683855,0.0003,220,72.73303072452545,0.9079108834266663,29.28653335571289
98304,219,-223.71667277999998,479.99,448,24,-2.2114082291722297,0.2,0.0761962890625,0.009891818,-0.009919376809557434,0.0003,230,100.59946789741517,0.9285061955451965,43.337955474853516
102400,232,-238.54375041999995,497.07,439,25,-2.2211299404501914,0.2,0.0468017578125,0.010721964,-0.0047372945351526145,0.0003,240,211.6649748325348,0.9061319231987,99.1689682006836
106496,238,-231.42288394,502.96,446,26,-2.234743359684944,0.2,0.0076416015625,0.0043032905,-0.0033338868568534965,0.0003,250,572.7176286697388,0.865513801574707,322.3777160644531
110592,258,-219.78575912,506.12,428,27,-2.2120617613196374,0.2,0.06513671875,0.008044204,-0.010099530045408756,0.0003,260,224.68069152832032,0.9235914349555969,113.70765686035156
114688,264,-213.86073235000003,510.95,433,28,-2.1969984397292137,0.2,0.062353515625,0.009166097,-0.01002806167525705,0.0003,270,145.08753981590272,0.9124699234962463,75.1414566040039
118784,270,-205.52818376,504.6,438,29,-2.1986477762460708,0.2,0.080322265625,0.010404529,-0.011295644819620065,0.0003,280,96.65515372753143,0.912594199180603,33.808197021484375
122880,283,-178.0327554,520.25,432,30,-2.1930991783738136,0.2,0.1065673828125,0.010154303,-0.01271743540710304,0.0003,290,120.52866344451904,0.9276670217514038,61.866336822509766
126976,289,-164.52685804,524.71,438,31,-2.175325073301792,0.2,0.0455078125,0.0080369,-0.008194242580793798,0.0003,300,87.44746129512787,0.8999302387237549,37.312076568603516
131072,302,-140.73090967000002,530.57,433,32,-2.176082429289818,0.2,0.0648193359375,0.00813435,-0.010152275607106276,0.0003,310,83.94023704528809,0.9574549794197083,35.2490348815918
135168,308,-141.19218397,535.96,438,33,-2.186856949329376,0.2,0.088427734375,0.009877572,-0.012726551704690791,0.0003,320,100.62929301261902,0.9589007496833801,41.1194953918457
139264,314,-132.98775044,544.94,443,34,-2.1957596212625505,0.2,0.049072265625,0.007170392,-0.010220175451831893,0.0003,330,91.54915435314179,0.9027862548828125,37.063873291015625
143360,327,-126.12496007,551.7,437,35,-2.190227857232094,0.2,0.0289794921875,0.006715488,-0.007218742711120285,0.0003,340,134.66603145599365,0.9305956959724426,63.176692962646484
147456,334,-116.41964855000002,566.64,441,36,-2.158932253718376,0.2,0.0416259765625,0.006759426,-0.009065650647971778,0.0003,350,59.21009001731873,0.9158149361610413,20.873699188232422
151552,348,-109.92985661,575.58,434,37,-2.1344445943832397,0.2,0.06572265625,0.007937586,-0.011157981487485813,0.0003,360,40.67119741439819,0.9149686098098755,19.19710922241211
155648,356,-100.33359821,584.28,437,38,-2.171389600634575,0.2,0.0600830078125,0.008709002,-0.008604421866766642,0.0003,370,64.01240384578705,0.9024156332015991,27.59021759033203
159744,362,-84.51973424999998,590.55,440,39,-2.18577377051115,0.2,0.0784423828125,0.008991273,-0.01020109848177526,0.0003,380,53.86777040958405,0.9308760762214661,21.180185317993164
163840,376,-33.80867938,592.77,434,40,-2.14198692291975,0.2,0.084130859375,0.009150131,-0.01206258377060294,0.0003,390,57.1658077955246,0.9111486077308655,21.60660171508789
167936,383,-4.608911589999997,586.12,438,41,-2.1321130841970444,0.2,0.132421875,0.010209722,-0.011913883594388608,0.0003,400,64.42130773067474,0.9305353164672852,32.236297607421875
172032,395,5.624805300000002,584.51,434,42,-2.139669969677925,0.2,0.050244140625,0.008185601,-0.008087291452102362,0.0003,410,125.97891626358032,0.9298667907714844,54.47004699707031
176128,402,20.020524679999998,592.03,437,43,-2.14937754124403,0.2,0.094189453125,0.009104145,-0.01046338954474777,0.0003,420,71.039288854599,0.9329590797424316,25.225746154785156
180224,417,31.201616789999992,590.18,431,44,-2.116629222035408,0.2,0.0792724609375,0.010045223,-0.011349893509759568,0.0003,430,40.03544161319733,0.9357916712760925,13.552855491638184
184320,422,39.219318109999996,584.34,436,45,-2.114583911001682,0.2,0.13046875,0.009610552,-0.01488541781436652,0.0003,440,63.031327509880064,0.9460242390632629,28.974525451660156
188416,428,60.622438409999994,584.34,439,46,-2.110300686955452,0.2,0.0845458984375,0.00890699,-0.011149946093792096,0.0003,450,89.15314848423004,0.9552114009857178,28.8895263671875
192512,447,73.48322902,583.07,429,47,-2.1259667575359344,0.2,0.074951171875,0.008862328,-0.011186541998176836,0.0003,460,42.148472905159,0.9746114611625671,17.341814041137695
196608,453,86.87771998,577.87,433,48,-2.103922191262245,0.2,0.0693115234375,0.007603233,-0.008857528903172351,0.0003,470,94.93646500110626,0.9653847217559814,22.885345458984375
200704,465,93.33733456,575.28,431,49,-2.1131337359547615,0.2,0.062109375,0.008301927,-0.009571267911815085,0.0003,480,128.7565786123276,0.9027186632156372,40.05529022216797
