time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,train/clip_range,train/approx_kl,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/explained_variance
175,39,389.16,907,159744,-72.40329516,0.0003,-1.8979174099862575,0.2,0.01030652,19.65529139339924,11.86421012878418,380,-0.011952029213716742,0.1198486328125,0.9844474792480469
182,40,378.93,897,163840,-52.75377202,0.0003,-1.8414740674197674,0.2,0.01640109,11.239442792534827,5.70720911026001,390,-0.01191520327120088,0.170947265625,0.969405472278595
185,41,397.0,904,167936,-45.84278952999999,0.0003,-1.8004765890538692,0.2,0.012791105,26.835908943414687,16.243934631347656,400,-0.008527136677003,0.115673828125,0.9600424766540527
193,42,411.05,889,172032,-44.25881168,0.0003,-1.8242632813751698,0.2,0.011620672,9.841019266843796,7.128331661224365,410,-0.013596317882911536,0.16533203125,0.9736378788948059
195,43,405.55,899,176128,-48.22362183999999,0.0003,-1.796021544188261,0.2,0.010909716,38.80185022354126,9.132699012756348,420,-0.008571350664715283,0.14453125,0.9745659828186035
203,44,421.56,886,180224,-44.96854760000001,0.0003,-1.8171810686588288,0.2,0.013014986,25.26367194056511,20.85196876525879,430,-0.014128355047432706,0.1568359375,0.9819237589836121
206,45,428.7,894,184320,-45.123445790000005,0.0003,-1.8320226885378361,0.2,0.009055855,18.193746760487556,6.782894134521484,440,-0.010980079491855577,0.0713623046875,0.9798327684402466
208,46,429.87,902,188416,-40.86014262000001,0.0003,-1.811844178289175,0.2,0.0076524103,35.16040554642677,10.15567398071289,450,-0.008332977847021538,0.048974609375,0.9833632707595825
217,47,436.26,886,192512,-37.73635253,0.0003,-1.7800926290452481,0.2,0.007939184,32.88100232481956,8.806126594543457,460,-0.010668817601981573,0.08212890625,0.9641368389129639
219,48,446.28,895,196608,-46.47452697000001,0.0003,-1.7688193932175635,0.2,0.011427932,35.95317113995552,14.80150318145752,470,-0.008847400078957434,0.0982421875,0.9728427529335022
226,49,454.9,887,200704,-46.18666693,0.0003,-1.6920768640935422,0.2,0.011452043,34.333523684740065,9.459851264953613,480,-0.007295263536798302,0.0803955078125,0.9787289500236511
