rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/loss,train/n_updates,train/learning_rate
555.38,0.5616225000000001,311,474,147664,163.73375794999998,292,0.3048827052116394,8916,0.0003
554.0,0.5550318750000002,313,477,149884,170.26047645999998,296,0.019963471218943596,9055,0.0003
553.37,0.5487143749999999,316,479,152012,171.92963581999996,300,0.30476027727127075,9188,0.0003
556.43,0.5421356250000001,318,483,154228,174.81482784,304,0.025792429223656654,9327,0.0003
552.7,0.5358775,320,487,156336,183.63760519,308,0.2611185610294342,9458,0.0003
553.05,0.5294887500000001,322,491,158488,187.86479973000004,312,0.4106031060218811,9593,0.0003
552.19,0.5263893749999999,323,493,159532,192.00177277999998,316,0.18783210217952728,9658,0.0003
553.73,0.5203212500000001,325,496,161576,206.13239486999998,320,0.43416067957878113,9786,0.0003
546.89,0.5133268750000002,328,499,163932,208.60013961,324,0.43490633368492126,9933,0.0003
542.16,0.5066887499999999,331,501,166168,216.75618344999998,328,0.3141390085220337,10073,0.0003
538.92,0.501713125,334,501,167844,219.8175084,332,0.3019261658191681,10178,0.0003
534.41,0.49528875000000017,336,505,170008,226.8379036,336,0.24406710267066956,10313,0.0003
535.09,0.48980250000000003,338,508,171856,228.02313073999997,340,0.2435489445924759,10428,0.0003
533.16,0.4824400000000001,340,511,174336,234.20409077999997,344,0.4324837923049927,10583,0.0003
529.9,0.4778325000000002,341,514,175888,240.78790388,348,0.4350138008594513,10680,0.0003
527.54,0.47120625000000005,343,517,178120,245.23818521,352,0.6549381017684937,10820,0.0003
523.9,0.4643662500000001,346,520,180424,254.74524786000006,356,0.5198743939399719,10964,0.0003
521.79,0.4582268749999999,349,522,182492,261.53502689000004,360,0.23828427493572235,11093,0.0003
522.07,0.45196875000000003,351,525,184600,269.45851468,364,0.9469339847564697,11225,0.0003
519.82,0.44666062500000003,353,527,186388,274.86264084,368,0.23087428510189056,11337,0.0003
516.04,0.4405450000000001,355,530,188448,280.29777792,372,0.36134472489356995,11465,0.0003
512.94,0.434144375,357,533,190604,291.03273851,376,0.6492115259170532,11600,0.0003
512.14,0.4277199999999999,359,536,192768,296.63673681,380,0.5801883339881897,11735,0.0003
505.58,0.423599375,360,538,194156,294.24305346,384,0.03010648861527443,11822,0.0003
503.15,0.4182912500000001,363,538,195944,293.56019361,388,0.2833261489868164,11934,0.0003
503.75,0.41196187500000003,366,539,198076,291.56963235,392,0.5908079743385315,12067,0.0003
505.84,0.406238125,373,534,200004,297.30015274,396,0.03054914064705372,12188,0.0003
504.94,0.39887562499999996,377,536,202484,297.09362663999997,400,1.277910590171814,12343,0.0003
503.49,0.3933181250000003,379,539,204356,296.40776506000003,404,0.03869995102286339,12460,0.0003
507.61,0.38615750000000004,381,541,206768,295.14595991000004,408,1.7608323097229004,12610,0.0003
511.11,0.37941250000000015,385,542,209040,298.62769106,412,0.6318638920783997,12752,0.0003
510.62,0.37330874999999997,388,543,211096,304.73892513999994,416,1.4498194456100464,12881,0.0003
507.58,0.36738312500000025,390,546,213092,305.28436729,420,0.2845197916030884,13006,0.0003
511.27,0.3609587500000002,392,547,215256,310.17682313,424,0.3035944998264313,13141,0.0003
512.63,0.35579312500000015,394,550,216996,314.88184047,428,0.4505529999732971,13250,0.0003
511.71,0.3502831249999999,396,551,218852,320.04117150999997,432,0.3000618815422058,13366,0.0003
509.26,0.34585374999999985,398,553,220344,321.66423240000006,436,0.3068755269050598,13459,0.0003
504.82,0.34078312499999996,400,554,222052,324.75245651999995,440,0.02854808419942856,13566,0.0003
501.58,0.3335275000000001,403,556,224496,327.71551211999997,444,0.31761646270751953,13718,0.0003
500.34,0.3286825,405,558,226128,325.59444972999995,448,0.021290916949510574,13820,0.0003
497.03,0.32370687500000006,407,559,227804,327.13200316,452,1.2869303226470947,13925,0.0003
494.39,0.3190400000000001,409,560,229376,325.95558178,456,0.8108028173446655,14023,0.0003
