time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/clip_fraction,train/value_loss,train/approx_kl,train/loss,train/n_updates
195,134.01,188416,23,965,18.2760027,0.0005,-0.005339645569620188,0.2,0.8123232126235962,-1.9622731387615204,0.1758544921875,46.19553190767765,0.014633866,8.918991088867188,220
202,128.5,196608,24,970,25.839547700000004,0.0005,-0.0060714140832715206,0.2,0.685826301574707,-1.9606844782829285,0.1378662109375,108.70391306877136,0.01301021,42.18179702758789,230
209,132.09,204800,25,978,24.588346769999998,0.0005,-0.004476744349813089,0.2,0.6216893792152405,-1.9405807584524155,0.08712158203125,146.8915414750576,0.009118304,57.998512268066406,240
217,130.89,212992,26,980,26.677284109999995,0.0005,-0.00644641224789666,0.2,0.8306154012680054,-1.926553251966834,0.15506591796875,60.229354846477506,0.011816733,34.287689208984375,250
224,127.35,221184,27,987,35.5461551,0.0005,-0.009693334846087965,0.2,0.5577205419540405,-1.9240287464112042,0.1556640625,195.1752423286438,0.012258288,31.5728759765625,260
231,121.84,229376,28,990,37.64341167,0.0005,-0.006017650738795055,0.2,0.4793485403060913,-1.9050672397017478,0.12025146484375,210.97626249790193,0.009590122,49.762691497802734,270
238,123.54,237568,29,998,40.75106822,0.0005,-0.007302537479699822,0.2,0.5334119200706482,-1.9019616689532994,0.10443115234375,185.41897822618483,0.0095023,46.529537200927734,280
245,121.21,245760,30,1001,47.20248159,0.0005,-0.006549131542851683,0.2,0.5663671493530273,-1.8833419624716043,0.1183837890625,156.52054877281188,0.011095787,63.139549255371094,290
252,112.57,253952,31,1006,40.07333935,0.0005,-0.006746829792973585,0.2,0.42429858446121216,-1.8597075428813696,0.09915771484375,237.17812831401824,0.0079436395,108.96475219726562,300
259,113.27,262144,32,1008,41.13911014,0.0005,-0.005020516648437478,0.2,0.6003080010414124,-1.859085902199149,0.11397705078125,175.03470187187196,0.008956299,48.27763366699219,310
268,117.08,270336,33,1007,55.64708632,0.0005,-0.005754437881114427,0.2,0.5345628261566162,-1.8421869177371264,0.101416015625,263.5512047290802,0.009425568,78.5877914428711,320
276,114.49,278528,34,1007,48.71325187999999,0.0005,-0.005864704952364264,0.2,0.5633118152618408,-1.8291232120245695,0.10550537109375,239.15512416362762,0.008524215,103.2105712890625,330
