time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/loss,train/value_loss,train/entropy_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/explained_variance
606,314.85,69632,114,17,-117.41576017000001,-0.00826010184828192,0.0028528941,320,19.78403091430664,40.7432817876339,-2.2259330675005913,0.1,0.0003,0.1289306640625,0.9179694652557373
585,326.53,73728,125,18,-107.52418596,-0.007987236643020878,0.0031414428,340,17.197206497192383,45.01031621098518,-2.2119192719459533,0.1,0.0003,0.184375,0.9218816757202148
589,337.8,77824,132,19,-94.52044913999998,-0.008125044432381401,0.0033584337,360,20.603496551513672,51.31113896965981,-2.2062890611588957,0.1,0.0003,0.13701171875,0.8839702606201172
574,358.16,81920,142,20,-61.004376840000006,-0.009828583347552922,0.0036278386,380,21.808578491210938,51.970376652479175,-2.1903859741985796,0.1,0.0003,0.179150390625,0.9249773621559143
577,369.25,86016,148,21,-57.99148833,-0.008761406655685278,0.0033970848,400,30.256938934326172,108.7590944647789,-2.189794773608446,0.1,0.0003,0.176123046875,0.7934078574180603
562,385.17,90112,160,22,-46.56736616999999,-0.008988387225690531,0.0037245452,420,19.4266414642334,61.62558215856552,-2.1803340524435044,0.1,0.0003,0.1861328125,0.9126946926116943
565,398.15,94208,166,23,-31.90063068,-0.008528285915599555,0.003219138,440,27.892223358154297,57.34196058511734,-2.165126644819975,0.1,0.0003,0.1356689453125,0.918057382106781
568,420.71,98304,172,24,-14.884967380000003,-0.006757387465768261,0.002570445,460,35.332435607910156,114.3047397494316,-2.13807730153203,0.1,0.0003,0.10391845703125,0.8388400077819824
551,441.53,102400,185,25,-7.5982600100000015,-0.006553209651610814,0.0026798756,480,33.75855255126953,104.02188022136689,-2.14101145118475,0.1,0.0003,0.1103271484375,0.8265262246131897
556,456.29,106496,191,26,8.29812359,-0.0074239665904315185,0.0029174513,500,22.984859466552734,55.86349194049835,-2.128643287718296,0.1,0.0003,0.1422119140625,0.9338595867156982
542,466.4,110592,204,27,23.59732405,-0.007494868880894501,0.003285638,520,50.56797409057617,90.55615458488464,-2.1037561535835265,0.1,0.0003,0.15382080078125,0.8445397615432739
541,469.8,114688,211,28,36.88918348,-0.007337068865308538,0.0028003636,540,30.819580078125,75.25028184652328,-2.1149529576301576,0.1,0.0003,0.111328125,0.9119455814361572
544,475.06,118784,218,29,54.75505905000001,-0.007610315108468058,0.0028992547,560,32.45769119262695,94.00024857521058,-2.0820281125605105,0.1,0.0003,0.13858642578125,0.8839074969291687
530,466.53,122880,231,30,74.59049435,-0.008829319621872856,0.0029211133,580,94.15241241455078,134.82275667190552,-2.0563814505934714,0.1,0.0003,0.1534423828125,0.8787257075309753
529,463.13,126976,239,31,93.50270597999999,-0.006985441253345925,0.0025799237,600,55.81993865966797,142.60677930116654,-2.029045592993498,0.1,0.0003,0.11978759765625,0.8347229361534119
522,458.7,131072,250,32,112.65843878000001,-0.005344502178195399,0.0022458234,620,63.67359161376953,165.36606516838074,-2.0273719646036623,0.1,0.0003,0.0748046875,0.8673454523086548
523,451.88,135168,258,33,130.18785017,-0.005979028365254635,0.002251274,640,86.86602783203125,192.51089746952056,-2.012688222527504,0.1,0.0003,0.0897705078125,0.8474992513656616
523,455.05,139264,266,34,158.71797992,-0.008470586188195739,0.0032150336,660,63.25947952270508,158.33733322620392,-2.030029581859708,0.1,0.0003,0.1368896484375,0.8836332559585571
515,447.63,143360,277,35,182.30228678,-0.0062761295019299725,0.002635934,680,46.458900451660156,131.80634396076204,-1.9942365180701018,0.1,0.0003,0.1063720703125,0.8892955183982849
516,436.04,147456,285,36,212.47978689000007,-0.0065701333027391225,0.0028573603,700,75.07122802734375,187.2453015089035,-1.9997153166681527,0.1,0.0003,0.1001953125,0.7934470176696777
509,423.82,151552,297,37,226.33484618,-0.008677342159353429,0.0031381869,720,22.299560546875,71.96362631320953,-1.969447635486722,0.1,0.0003,0.16207275390625,0.8974567651748657
509,414.83,155648,305,38,256.64234455,-0.009462463117961306,0.0035109285,740,28.6503963470459,90.83223960399627,-1.9268756490200758,0.1,0.0003,0.184814453125,0.9378182888031006
511,409.33,159744,312,39,281.20236388,-0.006524773495766567,0.002869797,760,70.29645538330078,119.60281453132629,-1.9418567888438703,0.1,0.0003,0.14207763671875,0.8723665475845337
505,401.44,163840,324,40,294.79303504,-0.00715423316032684,0.0027131657,780,32.66463851928711,81.94427900314331,-1.9578742288053035,0.1,0.0003,0.12005615234375,0.895947277545929
506,389.74,167936,331,41,308.8729638,-0.0076396477938033055,0.0031924862,800,26.48958396911621,81.27112389802933,-1.9263527508825065,0.1,0.0003,0.167919921875,0.8607457876205444
498,375.57,172032,345,42,314.71150406000004,-0.004716757994174259,0.0024516624,820,68.16712188720703,189.84386932849884,-1.9555238079279662,0.1,0.0003,0.10557861328125,0.8408191800117493
499,370.25,176128,352,43,322.15375647,-0.006608120624150615,0.0029715933,840,119.17475128173828,204.19774730205535,-1.954054420441389,0.1,0.0003,0.1353759765625,0.8920348286628723
493,365.27,180224,364,44,324.505434,-0.006103769908804679,0.0028464743,860,32.83446502685547,73.52221446037292,-1.9373730387538672,0.1,0.0003,0.11458740234375,0.8483270406723022
495,364.92,184320,372,45,325.63992961,-0.005387333006001427,0.0023718735,880,49.197566986083984,103.09048676490784,-1.9548467479646205,0.1,0.0003,0.09697265625,0.8478373289108276
496,360.13,188416,379,46,339.3956095,-0.008423604035488096,0.003643617,900,20.552459716796875,52.575670099258424,-1.9173304934054614,0.1,0.0003,0.18740234375,0.9098430871963501
492,360.58,192512,390,47,340.37663602,-0.005424250967917032,0.0024490915,920,25.405914306640625,62.420714831352235,-1.919615240395069,0.1,0.0003,0.11378173828125,0.8886216282844543
493,357.05,196608,398,48,340.66710605000003,-0.007649604066682514,0.0029979646,940,20.036184310913086,46.04954141974449,-1.9200988590717316,0.1,0.0003,0.1822509765625,0.9503938555717468
490,349.93,200704,409,49,344.92035354,-0.0064996573841199275,0.002831329,960,30.030427932739258,143.84577312469483,-1.9070443619042634,0.1,0.0003,0.136767578125,0.7528349161148071
